lat,long,stadium,team,sport
33.799572,-117.889031,"Angel Stadium","Anaheim Angels","baseball"
33.452922,-112.038669,"Chase Field","Arizona Diamondbacks","baseball"
33.74691,-84.391239,"Suntrust Park","Atlanta Braves","baseball"
39.285243,-76.620103,"Camden Yards","Baltimore Orioles","baseball"
42.346613,-71.098817,"Fenway Park","Boston Red Sox","baseball"
41.947201,-87.656413,"Wrigley Field","Chicago Cubs","baseball"
41.830883,-87.635083,"Guaranteed Rate Field","Chicago White Sox","baseball"
39.107183,-84.507713,"Great American Ball Park","Cincinnati Reds","baseball"
41.495149,-81.68709,"Progressive Field","Cleveland Indians","baseball"
39.75698,-104.965329,"Coors Field","Colorado Rockies","baseball"
42.346354,-83.059619,"Comerica Park","Detroit Tigers","baseball"
25.778056,-80.219722,"Marlins Park","Florida Marlins","baseball"
29.76045,-95.369784,"Minute Maid Park","Houston Astros","baseball"
39.10222,-94.583559,"Kauffman Stadium","Kansas City Royals","baseball"
34.072437,-118.246879,"Dodger Stadium","Los Angeles Dodgers","baseball"
43.04205,-87.905599,"Miller Park","Milwaukee Brewers","baseball"
44.974346,-93.259616,"Target Field","Minnesota Twins","baseball"
40.75535,-73.843219,"Citi Field","New York Mets","baseball"
40.819782,-73.929939,"Yankee Stadium","New York Yankees","baseball"
37.74923,-122.196487,"Oakland Coliseum","Oakland Athletics","baseball"
39.952313,-75.162392,"Citizens Bank Park","Philadelphia Phillies","baseball"
40.461503,-80.008924,"PNC Park","Pittsburg Pirates","baseball"
38.629683,-90.188247,"Busch Park","St. Louis Cardinals","baseball"
32.752148,-117.143635,"Petco Park","San Diego Padres","baseball"
37.77987,-122.389754,"AT&T Park","San Fransisco Giants","baseball"
47.60174,-122.330829,"Safeco Field","Seattle Mariners","baseball"
27.768487,-82.648191,"Tropicana Field","Tampa Bay Rays","baseball"
32.750156,-97.081117,"Globe Life Park","Texas Rangers","baseball"
43.641653,-79.3917,"Rogers Centre","Toronto Blue Jays","baseball"
38.87,-77.01,"Nationals Park","Washington Nationals","baseball"
47.5949685,-122.3316641,"CenturyLink Field","Seattle Seahawks","football"
37.751667,-122.200556,"Oakland Alameda Coliseum","Oakland Raiders","football"
37.403,-121.97,"Levi's Stadium","San Fransisco 49ers","football"
33.8644,-118.2611,"StubHub Center","Los Angeles Chargers","football"
34.0139021,-118.2875747,"Los Angeles Coliseum","Los Angeles Rams","football"
33.5275,-112.2625,"University of Phoenix Stadium","Arizona Cardinals","football"
39.743889,-105.02,"Sports Authority Field at Mile High","Denver Broncos","football"
32.747778,-97.092778,"AT&T Stadium","Dallas Cowboys","football"
29.684722,-95.410833,"NRG Stadium","Houston Texans","football"
39.048889,-94.483889,"Arrowhead Stadium","Kansas City Chiefs","football"
44.9734,-93.2576,"US Bank Stadium","Minnesota Vikings","football"
44.501,-88.062,"Lambeau Field","Green Bay Packers","football"
41.8625,-87.616667,"Soldier Field","Chicago Bears","football"
29.950833,-90.081111,"Mercedes-Benz Superdome","New Orleans Saints","football"
36.166389,-86.771389,"Nissan Stadium","Tennessee Titans","football"
39.76,-86.163611,"Lucas Oil Stadium","Indianapolis Colts","football"
39.095278,-84.515833,"Paul Brown Stadium","Cincinnati Bengals","football"
33.7575,-84.400833,"Georgia Dome","Atlanta Falcons","football"
35.225833,-80.852778,"Bank of America Stadium","Carolina Panthers","football"
30.323889,-81.6375,"Everbank Field","Jacksonville Jaguars","football"
27.975833,-82.503333,"Raymond James Stadium","Tampa Bay Buccaneers","football"
25.958056,-80.238889,"Hard Rock Stadium","Miami Dolphins","football"
42.34,-83.045556,"Ford Field","Detroit Lions","football"
41.506111,-81.699444,"FirstEnergy Stadium","Cleveland Browns","football"
40.446667,-80.01583,"Heinz Field","Pittsburg Steelers","football"
42.7738,-78.787,"New Era Field","Buffalo Bills","football"
38.907778,-76.864444,"FedEx Field","Washington Redskins","football"
39.277778,-76.6225,"M&T Bank Stadium","Baltimore Ravens","football"
39.900833,-75.1675,"Lincoln Financial Field","Philadelphia Eagles","football"
40.8139642,-74.0745057,"MetLife Stadium","New York Giants","football"
40.8139642,-74.0745057,"MetLife Stadium","New York Jets","football"
42.090833,-71.264167,"Gillette Stadium","New England Patriots","football"
42.366303,-71.062228,"TD Garden","Boston Celtics","basketball"
43.043611,-87.916944,"Bradley Center","Milwaukee Bucks","basketball"
33.757222,-84.396389,"Philips Arena","Atlanta Hawks","basketball"
35.225,-80.839167,"Spectrum Center","Charlotte Hornets","basketball"
25.781389,-80.188056,"American Airlines Arena","Miami Heat","basketball"
28.539338,-81.383963,"Amway Center","Orlando Magic","basketball"
38.898056,-77.020833,"Verizon Center","Washington Wizards","basketball"
39.748611,-105.0075,"Pepsi Center","Denver Nuggets","basketball"
44.979444,-93.276111,"Target Center","Minnesota Timberwolves","basketball"
45.531667,-122.666667,"Moda Garden","Portland Trail Blazers","basketball"
35.463333,-97.515,"Chesapeake Energy Arena","Oklahoma City Thunder","basketball"
40.733611,-74.171111,"Barclays Center","Brooklyn Nets","basketball"
40.768333,-111.901111,"Vivint Smart Home Arena","Utah Jazz","basketball"
37.750278,-122.203056,"Oracle Arena","Golden State Warriors","basketball"
34.043056,-118.267222,"Staples Center","Los Angeles Clippers","basketball"
34.043056,-118.267222,"Staples Center","Los Angeles Lakers","basketball"
33.445833,-112.071389,"Talking Stick Resort Arena","Phenix Suns","basketball"
38.580642,-121.499619,"Golden 1 Center","Sacramento Kings","basketball"
32.790556,-96.810278,"American Airlines Center","Dallas Mavericks","basketball"
29.750833,-95.362222,"Toyota Center","Houston Rockets","basketball"
35.138333,-90.050556,"FedExForum","Memphis Grizzlies","basketball"
29.948889,-90.081944,"Smoothie King Center","New Orleans Pelicans","basketball"
40.750556,-73.993611,"Madison Square Garden","New York Knicks","basketball"
29.426944,-98.4375,"AT&T Center","San Antonio Spurs","basketball"
39.901111,-75.171944,"Wells Fargo Center","Philadelphia 76ers","basketball"
43.643333,-79.379167,"Air Canada Centre","Toronto Raptors","basketball"
41.880556,-87.674167,"United Center","Chicago Bulls","basketball"
41.496389,-81.688056,"Quicken Loans Arena","Cleveland Cavaliers","basketball"
42.696944,-83.245556,"The Palace of Auburn Hills","Detroit Pistons","basketball"
39.763889,-86.155556,"Bankers Life Fieldhouse","Indiana Pacers","basketball"
36.15917,-86.77861,"Bridgestone Arena","Nashville Predators","hockey"
45.29694,-75.92722,"Canadian Tire Centre","Ottawa Senators","hockey"
32.79056,-96.81028,"American Airlines Center","Dallas Stars","hockey"
26.15833,-80.32556,"BB&T Center","Florida Panthers","hockey"
45.49611,-73.56944,"Bell Centre","Montreal Canadiens","hockey"
43.64333,-79.37917,"Air Canada Centre","Toronto Maple Leafs","hockey"
42.875,-78.876,"KeyBank Center","Buffalo Sabres","hockey"
40.4396,-79.9893,"PPG Paints Arean","Pittsburgh Penguins","hockey"
33.53194,-112.26111,"Gila River Areana","Arizona Coyotes","hockey"
49.89278,-97.14361,"MTS Centre","Winnipeg Jets","hockey"
33.80778,-117.87667,"Honda Center","Anaheim Ducks","hockey"
42.32528,-83.05139,"Joe Louis Arena","Detroit Red Wings","hockey"
40.733611,-74.171111,"Barclays Center","New York Islanders","hockey"
39.74861,-105.0075,"Pepsi Center","Colorado Avalanche","hockey"
39.9692833,-83.0061111,"Nationwide Arena","Columbus Blue Jackets","hockey"
53.547,-113.4978,"Rogers Place","Edmonton Oilers","hockey"
35.80333,-78.72194,"PNC Arena","Carolina Hurricanes","hockey"
49.27778,-123.10889,"Rogers Arena","Vancouver Canucks","hockey"
51.0375,-114.05194,"Scotiabank Saddledome","Calgary Flames","hockey"
37.33278,-121.90111,"SAP Center","San Jose Sharks","hockey"
40.73361,-74.17111,"Prudential Center","New Jersey Devils","hockey"
38.62667,-90.2025,"Scottrade Center","St. Louis Blues","hockey"
27.94278,-82.45194,"Amalie Arena","Tampa Bay Lightning","hockey"
34.04306,-118.26722,"Staples Center","Los Angeles Kings","hockey"
40.75056,-73.99361,"Madison Square Garden","New York Rangers","hockey"
41.88056,-87.67417,"United Center","Chicago Blackhawks","hockey"
44.94472,-93.10111,"Xcel Energy Center","Minnesota Wild","hockey"
39.90111,-75.17194,"Wells Fargo Center","Philadelphia Flyers","hockey"
38.89806,-77.02083,"Verizon Center","Washington Capitals","hockey"
42.3663028,-71.0622278,"TD Garden","Boston Bruins","hockey"
